id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_1T6MN3H67fTKgSywXop6B2wQ,payout,po_1T6MN2H67fTKgSywfxjbX2za,-660.10,0.00,,,-660.10,aud,2026-03-02 02:38,2026-03-02 02:38,"",,,,,
txn_1SHQmCH67fTKgSyw5Eiw8oyw,stripe_fee,,-2.75,0.28,,,-3.03,aud,2025-10-12 15:01,2025-10-12 15:01,Invoicing (2025-10-12): Invoicing Starter,,,,,
txn_3SFQqHH67fTKgSyw0YpssbBT,charge,ch_3SFQqHH67fTKgSyw0m1ejUqi,687.50,24.37,,,663.13,aud,2025-10-12 08:54,2025-10-15 00:00,Payment for Invoice,687.50,aud,,,
txn_1Rg24cH67fTKgSywdA9NKeeD,payout,po_1Rg24cH67fTKgSywsy2Qwmlf,-1197.73,0.00,,,-1197.73,aud,2025-07-01 11:10,2025-07-01 11:10,"",,,,,
txn_1R8MsbH67fTKgSywroGsbJzR,stripe_fee,,-2.70,0.27,,,-2.97,aud,2025-03-30 14:30,2025-03-30 14:30,Invoicing (2025-03-30): Invoicing Starter,,,,,
txn_3R8DGnH67fTKgSyw1l0AyY1B,charge,ch_3R8DGnH67fTKgSyw16PibkvB,675.00,23.93,,,651.07,aud,2025-03-30 09:49,2025-04-02 00:00,Payment for Invoice,675.00,aud,,,
txn_1QMFngH67fTKgSywO1Taz3o5,stripe_fee,,-2.28,0.23,,,-2.51,aud,2024-11-17 21:14,2024-11-17 21:14,Invoicing (2024-11-17): Invoicing Starter,,,,,
txn_3QLxgLH67fTKgSyw152lh9Bf,payment,py_3QLxgLH67fTKgSyw1Ul10qKz,570.00,20.25,,,549.75,aud,2024-11-17 16:34,2024-11-20 00:00,Payment for Invoice,570.00,aud,,,
txn_1QGCmSH67fTKgSywW8IAme2c,stripe_fee,,1.07,-0.11,,,1.18,aud,2024-11-01 04:48,2024-11-01 04:48,Card (2024-10-01 - 2024-10-31),,,,,
txn_1QGCitH67fTKgSywiiGz5xbq,stripe_fee,,1.10,-0.11,,,1.21,aud,2024-11-01 04:44,2024-11-01 04:44,Card (2024-10-01 - 2024-10-31),,,,,
txn_1QCfG6H67fTKgSyw9Ek4N3RO,payout,po_1QCfG6H67fTKgSywWGuerHHq,-1830.12,0.00,,,-1830.12,aud,2024-10-22 10:24,2024-10-22 10:24,"",,,,,
txn_1Q9fMIH67fTKgSywlh9PZGyD,stripe_fee,,-2.18,0.21,,,-2.39,aud,2024-10-14 03:54,2024-10-14 03:54,Card (2024-10-01 - 2024-10-31),,,,,
txn_1Q9PG3H67fTKgSywBsRtSajm,stripe_fee,,-2.70,0.27,,,-2.97,aud,2024-10-13 10:42,2024-10-13 10:42,Invoicing (2024-10-13): Invoicing Starter,,,,,
txn_3Q3cNBH67fTKgSyw1Ggx1bAk,charge,ch_3Q3cNBH67fTKgSyw1iucyzoV,675.00,23.93,,,651.07,aud,2024-10-13 06:11,2024-10-16 00:00,Payment for Invoice,675.00,aud,,,
txn_1P8Gs5H67fTKgSywVXGqung0,stripe_fee,,-2.23,0.22,,,-2.45,aud,2024-04-22 07:01,2024-04-22 07:01,Invoicing (2024-04-21): Invoicing Starter,,,,,
txn_3P7xrAH67fTKgSyw1uTU4jPz,payment,py_3P7xrAH67fTKgSyw1lm1LWux,558.60,19.84,,,538.76,aud,2024-04-21 12:24,2024-04-24 00:00,Payment for Invoice,558.60,aud,,,
txn_1OsfrAH67fTKgSywNoZBxBDW,stripe_fee,,-2.70,0.27,,,-2.97,aud,2024-03-10 06:27,2024-03-10 06:27,Invoicing (2024-03-09): Invoicing Starter,,,,,
txn_3OrXD0H67fTKgSyw1Bh1kgtI,charge,ch_3OrXD0H67fTKgSyw1VzG3p4J,675.00,23.93,,,651.07,aud,2024-03-09 13:26,2024-03-13 00:00,Payment for Invoice,675.00,aud,,,
txn_1Oq6D2H67fTKgSywNuuzIRwI,payout,po_1Oq6D2H67fTKgSywNDbPdgQl,-548.90,0.00,,,-548.90,aud,2024-03-03 03:59,2024-03-03 03:59,"",,,,,
txn_1OJUyTH67fTKgSywSVlncqtE,stripe_fee,,-2.17,0.22,,,-2.39,aud,2023-12-04 05:45,2023-12-04 05:45,Invoicing (2023-12-03): Invoicing Starter,,,,,
txn_3OJDkVH67fTKgSyw0yL0NtKA,charge,ch_3OJDkVH67fTKgSyw0GIeqQJw,541.50,19.25,,,522.25,aud,2023-12-03 20:35,2023-12-09 00:00,Payment for Invoice,541.50,aud,,,
txn_1OJ8ilH67fTKgSywYrJ1dJZK,stripe_fee,,-0.12,0.01,,,-0.13,aud,2023-12-03 06:00,2023-12-03 06:00,Invoicing (2023-12-02): Invoicing Starter,,,,,
txn_3OIqi4H67fTKgSyw0R5kSHC3,charge,ch_3OIqi4H67fTKgSyw0IWDoyCd,30.00,0.83,,,29.17,aud,2023-12-02 10:58,2023-12-09 00:00,Payment for Invoice,30.00,aud,,,
