Caption / Title,Item ID,Digital Image ID,Digital Image Source ID,Series ID,Series Title,Coverage Temporal,Coverage Place,Creating Agency ID,Creating Agency Title
A flyer advertising the March to Freedom Column and letters from Rockhampton police reporting the event 2 October 1918 to 4 October 1918,ITM2041163,DR25148,https://www.archivessearch.qld.gov.au/api/download_file/DR25148 ,S16865,General Correspondence,1910 to 1919,Rockhampton Region,A1521,Police Department Police Service Commissioners Office
A letter to and reply from the Private Secretary of the Lieutenant Governor and a letter to the Lieutenant Governor from Basil Stubbs a 15 year old who offers his assistance to the empire 25 August 1914 - 22 September 1914,ITM2105339,DR26083,https://www.archivessearch.qld.gov.au/api/download_file/DR26083 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
A telegram from the Governor of Queensland and letters to and from Archbishop Duhig and T. J. Ryan Premier of Queensland concerning the death of Archbishop Dunne 15 January 1917 to 16 January 1917,ITM2125345,DR26734,https://www.archivessearch.qld.gov.au/api/download_file/DR26734 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Acknowledgement from Colonial Office to the Governor of Queensland in regards of the receipt for resolutions from various associations and societies that were presented to the King as tokens of devotion and loyalty 15 November 1918 - 8 May 1919,ITM2125362,DR26750,https://www.archivessearch.qld.gov.au/api/download_file/DR26750 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Acting Premiers speech for the unveiling of the Cross of Sacrifice at Toowong Cemetery 25 April 1924,ITM2125353,DR26740,https://www.archivessearch.qld.gov.au/api/download_file/DR26740 ,S5402,Inwards and General Correspondence,1920 to 1929,Brisbane City,A40,Premier and Chief Secretarys Department
Addison Gardens School Empire Day celebrations when an Australian flag sent from West End State School was presented and unfurled by Major Sir T.B. Robinson Agent General of Queensland,ITM2140138,DR26935,https://www.archivessearch.qld.gov.au/api/download_file/DR26935 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Addison Gardens School Empire Day celebrations when an Australian flag sent from West End State School was presented and unfurled by Major Sir T.B. Robinson Agent General of Queensland 22 May 1914,ITM2140138,DR26934,https://www.archivessearch.qld.gov.au/api/download_file/DR26934 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Addison Gardens School Empire Day celebrations when an Australian flag sent from West End State School was presented and unfurled by Major Sir T.B. Robinson Agent General of Queensland 22 May 1914,ITM2140138,DR26936,https://www.archivessearch.qld.gov.au/api/download_file/DR26936 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Addison Gardens School Empire Day celebrations when an Australian flag sent from West End State School was presented and unfurled by Major Sir T.B. Robinson Agent General of Queensland 22 May 1914,ITM2140138,DR26937,https://www.archivessearch.qld.gov.au/api/download_file/DR26937 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Addison Gardens School Empire Day celebrations when an Australian flag sent from West End State School was presented and unfurled by Major Sir T.B. Robinson Agent General of Queensland 22 May 1914,ITM2140138,DR26938,https://www.archivessearch.qld.gov.au/api/download_file/DR26938 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
