Item Number,People mentioned,Places mentioned,Aboriginal & Torres Strait Island communities,WARNING,Description ,Letter Number,"Relevant pages in digitised file
[page # relates to pdf]",Document Date,Event date,Previous system Number,Hyperlink
ITM3681973,"WALKER, Commandant",Condermine River,,,Letter from Commandant of the Native Police Frederick Walker to the Colonial Secretary at Sydney regarding ‘outrages’ on the Condamine River.,"1849/1999
and
1849/8",p.1,26/5/1849,,,https://www.archivessearch.qld.gov.au/items/ITM3681973
ITM3681974,"MARSHALL, R.P., Lieut.; WILLIAMS, Dugald; PLUNKETT, John, Attorney-General; MANNING, William, Solicitor-General",Callandoon; Condamine; Wide Bay; Fitzroy,,,"Deposition by Dugald Williams at Callandoon, forwarded to Sydney; noted by Attorney General John Plunkett and Solicitor-General William Manning.",1850/15,p.1-6,9/11/1850,,NMP/J1,https://www.archivessearch.qld.gov.au/items/ITM3681974
ITM3681975,"WALKER, Commandant; HALY, C.R.","Burnett District; Traylan, Gayndah, Lower Burnett",,,Petition from C.R. Haly and 27 residents and landholders at Gayndah to the Colonial Secretary at Sydney regarding the Native Police.,,p.1-4,27/1/1851,,,https://www.archivessearch.qld.gov.au/items/ITM3681975
ITM3681976,"MURRAY, John (Lieutenant); WALSH, Wett; NEDDY (Aboriginal man); LANDSBOROUGH, Mr;",Degilbo; Wide Bay; Maryborough; Waller District,,,"Letter from Native Police Lieutenant John Murray at Degilbo, Wide Bay, to the Colonial Secretary at Sydney",,p.1-2,12/12/1852,,,https://www.archivessearch.qld.gov.au/items/ITM3681976
ITM3681977,"CLARY, ; WALKER, Sub-Lieutanant; HALLORAN, A.E.",Maryborough; Fraser Island; Widgee Widge; Tinana;,"Widgee Widgee Distict Aborigines
Saltwater Aborigines
Fraser Island Aboriginals",,"Letter from Crown Lands Commissioner Arthur E. Halloran at Tinana near Maryborough, to the Chief Commissioner of Crown Lands Sydney reporting on the aggression of Aboriginal people.",1854/6 ,p1-2,7/2/1854,,,https://www.archivessearch.qld.gov.au/items/ITM3681977
ITM3681978,"CLARY, ; WALKER, Sub-Lieutanant; HALLORAN, A.E.",Maryborough; Fraser Island; Widgee Widge; Tinana;,"Widgee Widgee Distict Aborigines
Saltwater Aborigines; Fraser Island Aboriginals",,"Letter from Crown Lands Commissioner Arthur E. Halloran at Tinana near Maryborough, to the Chief Commissioner of Crown Lands Sydney reporting on the aggression of Aboriginal people.",,p.1-3,"7/2/1854
","16/01/1854
",,https://www.archivessearch.qld.gov.au/items/ITM3681978
ITM3699918,"FITZ, Mr; CONNOR, Mr; WISEMAN, W.H.; HAY, Mr",Rannes; Leichhardt; McKenzie River; Bribie Island; Brisbane; Cairns; Herde? Bay; Clarence District; Dawson; Fitzroy; Broad Sound; Isaac; Moreton; Darling Downs; Maranoa; Burnett; Wide Bay; Peak Downs; ,Ningi Ningi ,,Letter from Crown Lands Commissioner Wiseman at Rannes near Rockhampton to the Chief Crown Lands Commissioner at Sydney in response to an application to have a permanent detachment of Native Police stationed on the McKenzie River,1855/35,p. 1-4,28/8/1855,,,https://www.archivessearch.qld.gov.au/items/ITM3699918
ITM3681979,"LANDSBOROUGH, J; ALLMAN, Sub lieutenant; JAKKI (Aboriginal man); KITTY (Aboriginal woman)","Monduran, Gayndah",,,"Letter from J. Landsborough at Monduran, Gayndah, to the Inspector General of Police at Sydney regarding conflict between Aboriginal people and Native Police",1857/521,p.1-3,31/12/1856,,,https://www.archivessearch.qld.gov.au/items/ITM3681979
ITM3681980,"FERGUSON, Lieut. ",,,,Letter from the Colonial Secretary at Sydney to the Government Resident at Moreton Bay regarding the murder of a German shepherd and a subsequent collision with Aboriginal people.,1857/198,p.1-3,16/1/1857,,,https://www.archivessearch.qld.gov.au/items/ITM3681980
ITM3681981,"HARRIS, James Turner; CARR, Frederick W.;WILLIAMS, Evan  G.; PHIBBS, Charles H. ",,,,"Letter from the Colonial Secretary at Sydney to the Government Resident at Moreton Bay, advising that the Executive Council have approved the appointment of Frederick W. Carr to Second Lieutenant in the Native Police","1857/73937

or could be #13937
25/5",p. 1-3,18/5/1857,,,https://www.archivessearch.qld.gov.au/items/ITM3681981
ITM3681982,"WICKHAM, Captain; DUNCAN, Charles; DUNCAN, David; STEWART, John",Bald Hills; Cabbage Tree Creek; Pine River,,,Letter from Charles Duncan and others at Bald Hills to the Government Resident at Moreton Bay requesting assistance from the Native Police,,p.1-2,7/10/1857,,,https://www.archivessearch.qld.gov.au/items/ITM3681982
ITM3681983,"WALKER, Commandant; MORISSET,  E, R.",,,,Letter from the Commandant of the Native Police to the Government Resident at Moreton Bay regarding matters relating to Troopers in the Native Police.,,p. 1-3,15/10/1857,,RES/1,https://www.archivessearch.qld.gov.au/items/ITM3681983
