Item ID,Description,Start date,End date,Series ID,Series,Source
792912,ABERCORN State School,1970-07-13,1970-07-13,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792912
792913,ABERCORN State School,1972-09-18,1972-09-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792913
792914,ABERCORN State School,1973-03-26,1973-03-27,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792914
792915,ABERGOWRIE State School,1971-09-21,1971-09-21,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792915
792916,ABERGOWRIE State School,1972-12-07,1972-07-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792916
792917,ABERGOWRIE State School,1973-03-13,1973-03-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792917
792918,ACACIA RIDGE State School,1967-07-11,1967-11-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792918
792919,ACACIA RIDGE State School,1973-07-25,1973-07-27,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792919
792920,ACACIA RIDGE State High School,1972-06-29,1972-06-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792920
792921,ACACIA RIDGE INFANTS State School,1971-05-04,1971-07-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792921
792922,ACACIA RIDGE INFANTS State School,1973-11-21,1973-11-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792922
792923,ACLAND State School,1971-01-09,1971-02-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792923
792924,ACLAND State School,1972-07-17,1972-07-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792924
792925,AIRDMILLAN State School,1972-04-18,1972-04-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792925
792926,AIRDMILLAN State School,1973-05-30,1973-05-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792926
792927,AIRVILLE State School,1970-01-01,1970-12-31,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792927
792928,AIRVILLE State School,1972-05-04,1972-06-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792928
792929,AITKENVALE State School,1971-09-20,1971-01-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792929
792930,AITKENVALE State School,1971-10-18,1971-10-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792930
792931,AITKENVALE State School,1973-08-28,1973-07-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792931
792932,AITKENVALE INFANTS State School,1973-06-26,1973-06-27,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792932
792933,ALBANY CREEK State School,1911-05-05,1971-04-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792933
792934,ALBANY CREEK State School,1971-04-13,1971-04-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792934
792935,ALBANY CREEK State School,1973-10-09,1973-09-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792935
792936,ALBERT State School,1970-09-06,1970-06-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792936
792937,ALBERT State School,1973-03-26,1973-03-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792937
792938,"ALL SAINTS Convent School, BOONAH",1970-06-04,1970-07-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792938
792939,"ALL SAINTS Convent School, BOONAH",1973-05-29,1973-05-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792939
792940,ALLENSTOWN State School,1973-09-27,1973-09-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792940
792941,ALLIES CREEK State School,1971-06-16,1971-06-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792941
792942,ALLIES CREEK State School,1972-08-08,1972-08-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792942
792943,ALLIES CREEK State School,1973-03-10,1973-03-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792943
792944,ALLIGATOR CREEK State School,1970-05-19,1970-05-20,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=792944
